location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",25.382208665211994,"µg/m³","2025-08-25T01:00:00Z","2025-08-25T07:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",17.31820845603943,"µg/m³","2025-08-25T02:00:00Z","2025-08-25T08:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",17.573167006174724,"µg/m³","2025-08-25T03:00:00Z","2025-08-25T09:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",20.786083380381267,"µg/m³","2025-08-25T04:00:00Z","2025-08-25T10:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",28.544833342234295,"µg/m³","2025-08-25T05:00:00Z","2025-08-25T11:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",31.17033354441325,"µg/m³","2025-08-25T06:00:00Z","2025-08-25T12:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",24.755833466847736,"µg/m³","2025-08-25T07:00:00Z","2025-08-25T13:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",21.41237513224284,"µg/m³","2025-08-25T08:00:00Z","2025-08-25T14:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",20.59725022315979,"µg/m³","2025-08-25T09:00:00Z","2025-08-25T15:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",25.035900115966797,"µg/m³","2025-08-25T11:00:00Z","2025-08-25T17:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",26.30725034077962,"µg/m³","2025-08-25T12:00:00Z","2025-08-25T18:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",23.89729181925456,"µg/m³","2025-08-25T13:00:00Z","2025-08-25T19:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
